code,name
aircraft,Літальні апарати
aeroelastic_systems,Аеропружні системи
armored_vehicles,Бронетанкова техніка
automotive_vehicles,Автомобільна техніка
artillery_armament,Артилерійське озброєння
small_arms,Стрілецьке озброєння
ships,Кораблі
radar_systems,Радіолокаційні системи
intelligence_tools,Засоби розвідки
means_REB,Засоби РЕБ
means_of_communication,Засоби зв'язку
special_vehicles,Спеціальна техніка
anti_aircraft_missile_systems,Зенітні ракетні комплекси
